promo_type,target_quality_label,row_count,slice_row_count,share_within_slice
newlines,CLEAN_REALIZED_DEMAND,305,2662,0.114576
newlines,INSUFFICIENT_EVIDENCE,2353,2662,0.883922
newlines,INVENTORY_INTEGRITY_CONTAMINATED,4,2662,0.001503
normal catalogue,CLEAN_REALIZED_DEMAND,820,2538,0.323089
normal catalogue,INSUFFICIENT_EVIDENCE,1704,2538,0.671395
normal catalogue,INVENTORY_INTEGRITY_CONTAMINATED,14,2538,0.005516
online promotion,CLEAN_REALIZED_DEMAND,250,784,0.318878
online promotion,INSUFFICIENT_EVIDENCE,525,784,0.669643
online promotion,INVENTORY_INTEGRITY_CONTAMINATED,9,784,0.01148
sales event,CLEAN_REALIZED_DEMAND,2432,5277,0.460868
sales event,INSUFFICIENT_EVIDENCE,2819,5277,0.534205
sales event,INVENTORY_INTEGRITY_CONTAMINATED,26,5277,0.004927
