inferred_supplier_number,target_quality_label,row_count,slice_row_count,share_within_slice
0,CLEAN_REALIZED_DEMAND,2828,7824,0.361452
0,INSUFFICIENT_EVIDENCE,4994,7824,0.638292
0,INVENTORY_INTEGRITY_CONTAMINATED,2,7824,0.000256
1099,INSUFFICIENT_EVIDENCE,9,9,1.0
1248,CLEAN_REALIZED_DEMAND,26,62,0.419355
1248,INSUFFICIENT_EVIDENCE,35,62,0.564516
1248,INVENTORY_INTEGRITY_CONTAMINATED,1,62,0.016129
1345,CLEAN_REALIZED_DEMAND,64,189,0.338624
1345,INSUFFICIENT_EVIDENCE,123,189,0.650794
1345,INVENTORY_INTEGRITY_CONTAMINATED,2,189,0.010582
1417,CLEAN_REALIZED_DEMAND,6,18,0.333333
1417,INSUFFICIENT_EVIDENCE,12,18,0.666667
1610,CLEAN_REALIZED_DEMAND,1,16,0.0625
1610,INSUFFICIENT_EVIDENCE,14,16,0.875
1610,INVENTORY_INTEGRITY_CONTAMINATED,1,16,0.0625
2352,CLEAN_REALIZED_DEMAND,1,3,0.333333
2352,INSUFFICIENT_EVIDENCE,2,3,0.666667
2808,CLEAN_REALIZED_DEMAND,8,17,0.470588
2808,INSUFFICIENT_EVIDENCE,9,17,0.529412
3152,CLEAN_REALIZED_DEMAND,2,6,0.333333
3152,INSUFFICIENT_EVIDENCE,4,6,0.666667
3376,CLEAN_REALIZED_DEMAND,25,48,0.520833
3376,INSUFFICIENT_EVIDENCE,23,48,0.479167
3707,CLEAN_REALIZED_DEMAND,245,651,0.376344
3707,INSUFFICIENT_EVIDENCE,393,651,0.603687
3707,INVENTORY_INTEGRITY_CONTAMINATED,13,651,0.019969
4689,CLEAN_REALIZED_DEMAND,12,47,0.255319
4689,INSUFFICIENT_EVIDENCE,35,47,0.744681
10685,CLEAN_REALIZED_DEMAND,4,9,0.444444
10685,INSUFFICIENT_EVIDENCE,5,9,0.555556
10865,CLEAN_REALIZED_DEMAND,17,63,0.269841
10865,INSUFFICIENT_EVIDENCE,46,63,0.730159
11660,INSUFFICIENT_EVIDENCE,2,2,1.0
11754,INSUFFICIENT_EVIDENCE,1,1,1.0
11759,CLEAN_REALIZED_DEMAND,1,13,0.076923
11759,INSUFFICIENT_EVIDENCE,12,13,0.923077
11764,CLEAN_REALIZED_DEMAND,42,120,0.35
11764,INSUFFICIENT_EVIDENCE,77,120,0.641667
11764,INVENTORY_INTEGRITY_CONTAMINATED,1,120,0.008333
11813,CLEAN_REALIZED_DEMAND,36,175,0.205714
11813,INSUFFICIENT_EVIDENCE,132,175,0.754286
11813,INVENTORY_INTEGRITY_CONTAMINATED,7,175,0.04
12067,CLEAN_REALIZED_DEMAND,14,58,0.241379
12067,INSUFFICIENT_EVIDENCE,43,58,0.741379
12067,INVENTORY_INTEGRITY_CONTAMINATED,1,58,0.017241
12738,CLEAN_REALIZED_DEMAND,1,5,0.2
12738,INSUFFICIENT_EVIDENCE,3,5,0.6
12738,INVENTORY_INTEGRITY_CONTAMINATED,1,5,0.2
39156,INSUFFICIENT_EVIDENCE,2,2,1.0
41335,CLEAN_REALIZED_DEMAND,13,44,0.295455
41335,INSUFFICIENT_EVIDENCE,31,44,0.704545
46354,INSUFFICIENT_EVIDENCE,4,4,1.0
49112,INSUFFICIENT_EVIDENCE,1,1,1.0
67454,CLEAN_REALIZED_DEMAND,4,8,0.5
67454,INSUFFICIENT_EVIDENCE,4,8,0.5
68631,CLEAN_REALIZED_DEMAND,1,36,0.027778
68631,INSUFFICIENT_EVIDENCE,34,36,0.944444
68631,INVENTORY_INTEGRITY_CONTAMINATED,1,36,0.027778
99999,CLEAN_REALIZED_DEMAND,456,1830,0.24918
99999,INSUFFICIENT_EVIDENCE,1351,1830,0.738251
99999,INVENTORY_INTEGRITY_CONTAMINATED,23,1830,0.012568
