column_name,feature_family,dtype,unknown_count,present
average_daily_units,demand_uplift,float64,0,YES
expected_normal_units_during_promo,demand_uplift,float64,0,YES
expected_promo_uplift_units,demand_uplift,float64,0,YES
expected_total_promo_demand_units,demand_uplift,float64,0,YES
promo_uplift_multiplier,demand_uplift,float64,0,YES
promo_convexity_score,demand_uplift,float64,0,YES
recent_momentum_regime,demand_uplift,float64,0,YES
sku_demand_regime,demand_uplift,float64,0,YES
current_soh,stock_optimal,float64,0,YES
promo_start_soh_resolved,stock_optimal,float64,0,YES
expected_soh_at_promo_start_before_order,stock_optimal,float64,0,YES
optimal_base_soh_units,stock_optimal,float64,0,YES
target_day_one_promo_soh,stock_optimal,float64,0,YES
target_end_promo_soh,stock_optimal,float64,0,YES
distance_to_optimal_end_soh,stock_optimal,float64,0,YES
current_stock_position_label,stock_optimal,float64,0,YES
stock_position_regime,stock_optimal,float64,0,YES
cash_tied_above_optimal_cost,stock_optimal,float64,0,YES
feature_basket_attach_rate,basket_trust,str,0,YES
feature_basket_3plus_attach_rate,basket_trust,str,0,YES
feature_basket_5plus_attach_rate,basket_trust,str,0,YES
feature_avg_basket_value_when_present,basket_trust,str,0,YES
feature_avg_basket_gp_when_present,basket_trust,str,0,YES
feature_sister_club_attach_rate,basket_trust,str,0,YES
mission_sku_score,basket_trust,float64,0,YES
mission_sku_flag,basket_trust,float64,0,YES
basket_completion_sku_score,basket_trust,float64,0,YES
range_trust_sku_score,basket_trust,float64,0,YES
long_tail_sku_flag,basket_trust,float64,0,YES
long_tail_mission_sku_flag,basket_trust,float64,0,YES
long_tail_protection_value,basket_trust,float64,0,YES
basket_trust_convexity_value,basket_trust,float64,0,YES
supplier_number_resolved,supplier_replenishment,int64,0,YES
supplier_replenishment_regime,supplier_replenishment,float64,0,YES
replenishment_lead_time_days,supplier_replenishment,float64,0,YES
replenishment_reliability,supplier_replenishment,float64,0,YES
supplier_risk_cost,supplier_replenishment,float64,0,YES
supplier_economic_risk_cost,supplier_replenishment,float64,0,YES
store_sales_regime,regime_brain,float64,0,YES
customer_loyalty_regime,regime_brain,float64,0,YES
customer_price_sensitivity_regime,regime_brain,float64,0,YES
customer_basket_trust_regime,regime_brain,float64,0,YES
promo_discount_regime,regime_brain,float64,0,YES
promo_convexity_regime,regime_brain,float64,0,YES
cash_efficiency_regime,regime_brain,float64,0,YES
overall_regime_opportunity_score,regime_brain,float64,0,YES
overall_regime_risk_score,regime_brain,float64,0,YES
calibrated_regime_conviction_score,regime_brain,float64,0,YES
economic_net_value_score,economic_triage,float64,0,YES
expected_gp_capture_value,economic_triage,float64,0,YES
missed_sales_avoidance_value,economic_triage,float64,0,YES
basket_trust_protection_value,economic_triage,float64,0,YES
overstock_cash_release_value,economic_triage,float64,0,YES
review_roi_score,economic_triage,float64,0,YES
decision_triage_class,economic_triage,float64,0,YES
promo_demand_source_quality,quality_governance,float64,0,YES
promo_start_soh_source_quality,quality_governance,str,0,YES
basket_attachment_source_quality,quality_governance,float64,0,YES
calibration_eligible_flag,quality_governance,float64,0,YES
promo_demand_release_ready_flag,quality_governance,float64,0,YES
constraint_block_flag,quality_governance,float64,0,YES
unsafe_flag,quality_governance,float64,0,YES
target_actual_units_sold_promo,target,float64,0,YES
target_actual_promo_uplift_units,target,float64,0,YES
target_actual_gp_proxy,target,float64,0,YES
target_actual_basket_gp_proxy,target,float64,0,YES
target_end_soh,target,float64,0,YES
target_distance_to_optimal_end_soh,target,float64,0,YES
target_distance_to_optimal_improvement,target,float64,0,YES
target_promo_exit_success_flag,target,str,0,YES
target_overstock_reduction_units,target,float64,0,YES
target_missed_demand_units,target,float64,0,YES
target_realised_economic_value,target,float64,0,YES
target_missed_sales_penalty,target,float64,0,YES
target_cash_drag_penalty,target,float64,0,YES
target_basket_trust_penalty,target,float64,0,YES
target_overstock_run_down_reward,target,float64,0,YES
target_regime_adjusted_decision_value,target,float64,0,YES
target_optimal_action_label,target,str,0,YES
