sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,selected_demand_units,raw_stock_gap_units,projected_stock_gap_units,order_reason_code,stock_position_status,demand_forecast_confidence,reason_short,audit_notes,has_explicit_hard_blocker
96463,Rabanne Phan In Red P/Elix 100,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,2,2,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=2; recommended_units=0; confidence_pct=58,True
97652,Rabanne Olympea Edp 80Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,2,2,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=2; recommended_units=0; confidence_pct=54,True
96461,Rabanne Olympea Abs Parf 80,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=58,True
96462,Rabanne Fame In Love P/Elix 80,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=59,True
89159,Versace Dylan Purple Edp 100Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=41,True
89154,Versace D/Blue P/F Edp 100Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=42,True
97537,Issey Lumiere D'Issey P100,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=53,True
97539,Narciso Pure Musc Blanc Pi100,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=58,True
94906,My Burberry Edp 90Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=59,True
94909,My Burberry Black Edp 90Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=59,True
92765,Hb - Boss Bottled Beyond P100,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=57,True
97541,Nr For Him Musc Santal Pi100,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=57,True
95387,Narciso All Of Me Edp Int 50Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=57,True
95391,Narciso For Her Int Edp 50Ml,DO_NOT_BUY,PROTECT_AVAILABILITY,DO_NOT_BUY,0,1,1,1,blocked_by_capital_rule,SHORT_AT_PROMO_START,MEDIUM,Do not auto-order.,order_reason=blocked_by_capital_rule; demand=LOW_NONZERO_DEMAND; stock_position=SHORT_AT_PROMO_START; raw_gap=1; recommended_units=0; confidence_pct=57,True
